timestamp,ac_kwh,fan_1_kwh,fan_2_kwh,fan_3_kwh,fan_4_kwh,fridge_kwh,hrs_kwh,induction-stove_kwh,iron-box_kwh,light_1_kwh,light_2_kwh,light_3_kwh,light_4_kwh,light_5_kwh,mixi_kwh,tv_kwh,unit_kwh_kwh,washing-machine_kwh,water-pump_kwh,total_kwh
1704047400,0.0001,0.0012,0.0011,0.0058,0.0002,0.0323,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0143,0.0002,0.0002,0.0001,0.0001,0.0002,0.0565
1704048300,0.0003,0.0012,0.0013,0.0059,0.0003,0.0323,0.0001,0.0002,0.0002,0.0001,0.0002,0.0001,0.0001,0.0142,0.0001,0.0003,0.0002,0.0001,0.0003,0.0575
1704049200,0.0002,0.0014,0.0013,0.0059,0.0001,0.0322,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0142,0.0001,0.0001,0.0002,0.0002,0.0001,0.0569
1704050100,0.0002,0.0013,0.0011,0.0059,0.0001,0.0322,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0001,0.0144,0.0003,0.0001,0.0002,0.0001,0.0002,0.057
1704051000,0.0001,0.0014,0.0011,0.0059,0.0002,0.0322,0.0003,0.0002,0.0002,0.0001,0.0001,0.0002,0.0002,0.0142,0.0001,0.0001,0.0003,0.0001,0.0001,0.0571
1704051900,0.0001,0.0013,0.0013,0.006,0.0002,0.0322,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002,0.0002,0.0143,0.0001,0.0002,0.0002,0.0001,0.0001,0.0572
1704052800,0.0001,0.0013,0.0012,0.0059,0.0001,0.0324,0.0003,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0142,0.0002,0.0002,0.0001,0.0002,0.0001,0.057
1704053700,0.0003,0.0013,0.0012,0.0058,0.0001,0.0323,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0003,0.0142,0.0002,0.0002,0.0003,0.0001,0.0001,0.0572
1704054600,0.0002,0.0013,0.0013,0.0058,0.0002,0.0322,0.0001,0.0003,0.0002,0.0001,0.0001,0.0002,0.0001,0.0142,0.0002,0.0001,0.0003,0.0003,0.0003,0.0575
1704055500,0.0002,0.0013,0.0013,0.0058,0.0002,0.0324,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0002,0.0142,0.0001,0.0002,0.0001,0.0002,0.0002,0.0573
